# type	name	count
# Generated by tools/emojigen. Do not edit by hand.
refactor	1234	1
refactor	airplane	1
refactor	ant	1
refactor	baseball	1
refactor	battery	1
refactor	bear	1
refactor	bed	1
refactor	bee	1
refactor	beers	1
refactor	bento	1
refactor	black_nib	1
refactor	bread	1
refactor	briefcase	1
refactor	candy	1
refactor	card_file_box	1
refactor	champagne	1
refactor	clapper	1
refactor	cyclone	1
refactor	dizzy_face	1
refactor	egg	1
refactor	envelope	1
refactor	exclamation	1
refactor	eyeglasses	1
refactor	film_projector	1
refactor	floppy_disk	1
refactor	fog	1
refactor	fountain	1
refactor	honey_pot	1
refactor	hourglass	1
refactor	izakaya_lantern	1
refactor	keyboard	1
refactor	label	1
refactor	maple_leaf	1
refactor	massage	1
refactor	memo	1
refactor	mountain_bicyclist	1
refactor	moyai	1
refactor	muscle	1
refactor	oden	1
refactor	page_with_curl	1
refactor	palm_tree	1
refactor	pencil2	1
refactor	pig	1
refactor	pizza	1
refactor	question	1
refactor	rabbit	1
refactor	rabbit2	1
refactor	recycle	1
refactor	seat	1
refactor	shield	1
refactor	skull	1
refactor	small_airplane	1
refactor	snail	1
refactor	space_invader	1
refactor	spider_web	1
refactor	sunglasses	1
refactor	tiger	1
refactor	tongue	1
refactor	tophat	1
refactor	triumph	1
refactor	violin	1
refactor	waxing_crescent_moon	1
revert	wrench	1
style	art	1
test	tea	314
test	skull	9
test	bug	6
test	honeybee	6
test	wrench	5
test	seedling	4
test	whale	3
test	factory	2
test	file_folder	2
test	fountain	2
test	monorail	2
test	rocket	2
test	tent	2
test	whale2	2
test	bar_chart	1
test	flashlight	1
test	hammer	1
test	honey_pot	1
test	minidisc	1
test	mountain	1
test	office	1
test	vertical_traffic_light	1
test	white_check_mark	1
test	wine_glass	1
